university,location,expertise
BIT Mesra,Ranchi,"engineering,computer science,electronics,energy,water,smart city"
IIT (ISM) Dhanbad,Dhanbad,"mining,energy,environment,engineering,water,geology"
NIT Jamshedpur,Jamshedpur East Singhbhum,"engineering,computer science,electronics,transport,manufacturing"
Central University of Jharkhand,Ranchi,"social science,education,environment,tribal studies,public policy"
Birsa Agricultural University,Ranchi,"agriculture,irrigation,crops,livestock,soil,farmer support"
Ranchi University,Ranchi,"education,social science,health,public administration"
Kolhan University,West Singhbhum,"education,tribal studies,social science,community development"
Sido Kanhu Murmu University,Dumka,"education,tribal studies,social science,agriculture,community development"
Vinoba Bhave University,Hazaribagh,"education,social science,science,community development"
Nilamber-Pitamber University,Palamu,"education,agriculture,community development,public administration"
Jharkhand University of Technology,Ranchi,"engineering,technology,computer science,electronics"
National Institute of Foundry and Forge Technology,Ranchi,"manufacturing,materials,mechanical engineering,industry"
