problem_id,raw_text,language,category,subcategory,district,data_source,label_source
JH_SYN_V2_0001,mohalla में लोग waste खुले में जला रहे हैं।,hinglish,environment,waste_burning,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0002,village के पास बिना उचित अनुमति construction की शिकायत है। लोग काफी समय से परेशान हैं।,hinglish,public_safety,illegal_construction,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0003,panchayat से बस सेवा बहुत कम है। लोग काफी समय से परेशान हैं।,hi,transport,public_transport,Godda,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0004,Power supply is highly irregular in main road. जल्द कार्रवाई की आवश्यकता है।,en,electricity,power_supply,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0005,खुले में कचरा जलाने से धुआं फैल रहा है। कृपया समस्या का समाधान किया जाए।,hi,environment,waste_burning,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0006,market में लोग waste खुले में जला रहे हैं। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,environment,waste_burning,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0007,"Road pe bade bade gaddhe hain, accident ka risk hai.",en,roads,pothole,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0008,Barish ke baad hospital ke saamne paani jama ho jata hai. जल्द कार्रवाई की आवश्यकता है।,hi,water,waterlogging,Bokaro,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0009,bus stand की internal road बहुत खराब condition में है। जल्द कार्रवाई की आवश्यकता है।,hinglish,roads,street_maintenance,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0010,bus stand की drain बार-बार overflow हो रही है।,hi,sanitation,drainage,Ramgarh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0011,Eligible residents near hospital are unable to access the scheme. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,welfare,scheme_access,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0012,market की internal road बहुत खराब condition में है। Please look into this issue.,hinglish,roads,street_maintenance,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0013,स्कूल के सामने तेज traffic के कारण बच्चों की safety को खतरा है। लोग काफी समय से परेशान हैं।,hinglish,transport,road_safety,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0014,स्कूल के सामने तेज traffic के कारण बच्चों की safety को खतरा है।,hi,transport,road_safety,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0015,school में welfare application का status clear नहीं है। कृपया समस्या का समाधान किया जाए।,hinglish,welfare,urban_welfare,Pakur,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0016,There has been no regular water supply in main road for 30 days. Please look into this issue.,en,water,water_supply,Hazaribagh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0017,बाजार क्षेत्र में सफाई ठीक से नहीं हो रही है। जल्द कार्रवाई की आवश्यकता है।,hi,sanitation,public_cleanliness,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0018,सरकारी योजना का लाभ लेने की प्रक्रिया समझ नहीं आ रही है।,hi,welfare,scheme_access,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0019,school में license verification पूरा नहीं हुआ।,hinglish,certificates,business_license,Palamu,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0020,Emergency mein hospital pahunchne ka proper transport nahi hai. लोग काफी समय से परेशान हैं।,en,health,hospital_access,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0021,स्कूल के सामने तेज traffic के कारण बच्चों की safety को खतरा है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hinglish,transport,road_safety,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0022,Bijli baar baar ja rahi hai aur supply stable nahi hai. लोग काफी समय से परेशान हैं।,hi,electricity,power_supply,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0023,स्कूल की छत और कमरे की मरम्मत की जरूरत है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hi,education,school_infrastructure,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0024,village के सरकारी स्कूल में toilet और पानी की सुविधा खराब है। कृपया समस्या का समाधान किया जाए।,hinglish,education,school_infrastructure,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0025,Barish ke baad bus stand ke saamne paani jama ho jata hai. Please look into this issue.,hi,water,waterlogging,Gumla,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0026,ward वाली road पर deep potholes हैं। कृपया समस्या का समाधान किया जाए।,hinglish,roads,pothole,Hazaribagh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0027,village में public area काफी गंदा रहता है। Please look into this issue.,hinglish,sanitation,public_cleanliness,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0028,market में drinking water की proper facility नहीं है। Please look into this issue.,hi,water,drinking_water,Garhwa,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0029,bus stand के पास कचरे का ढेर कई दिनों से पड़ा है। कृपया समस्या का समाधान किया जाए।,hi,sanitation,garbage,Hazaribagh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0030,village की drain बार-बार overflow हो रही है। इस वजह से स्थानीय लोगों को परेशानी हो रही है।,hinglish,sanitation,drainage,Lohardaga,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0031,There is a problem with the welfare application process near market. इस वजह से स्थानीय लोगों को परेशानी हो रही है।,en,welfare,urban_welfare,Hazaribagh,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0032,village की internal road बहुत खराब condition में है। Please look into this issue.,hi,roads,street_maintenance,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0033,ward से mandi तक transport की समस्या है। जल्द कार्रवाई की आवश्यकता है।,hinglish,agriculture,market_access,West Singhbhum,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0034,The government school near mohalla needs infrastructure repairs. कृपया समस्या का समाधान किया जाए।,en,education,school_infrastructure,Jamtara,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0035,बरसात के बाद सड़क कई जगह से टूट गई है। लोग काफी समय से परेशान हैं।,hi,roads,road_damage,Latehar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0036,The public area near panchayat feels unsafe at night.,en,public_safety,unsafe_public_area,Sahibganj,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0037,mohalla में staff shortage के कारण classes प्रभावित हैं। लोग काफी समय से परेशान हैं।,hi,education,teacher_or_staff,Khunti,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0038,health centre में birth certificate बनवाने में देरी हो रही है। Please look into this issue.,hi,certificates,birth_certificate,Chatra,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0039,certificate application के लिए सही जानकारी नहीं मिल रही। जल्द कार्रवाई की आवश्यकता है।,hi,certificates,document_or_certificate,Simdega,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0040,Kachra jalane se bahut smoke ho raha hai.,hi,environment,waste_burning,Dhanbad,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0041,The lane near market needs urgent maintenance. लोग काफी समय से परेशान हैं।,en,roads,street_maintenance,Giridih,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0042,Several houses near main road need basic repairs. लोग काफी समय से परेशान हैं।,en,housing,housing_infrastructure,Ranchi,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0043,"Bus service bahut kam hai, daily travel mushkil hai. इस वजह से स्थानीय लोगों को परेशानी हो रही है।",hinglish,transport,public_transport,Deoghar,synthetic_demo_v2,synthetic_generated
JH_SYN_V2_0044,बारिश में घर की छत से पानी अंदर आता है। कृपया समस्या का समाधान किया जाए।,hi,housing,housing_infrastructure,Godda,synthetic_demo_v2,synthetic_generated
